"MES","INFL01"
"2008-04-01",0.738352386983343
"2008-05-01",1.86969133482229
"2008-06-01",1.25962444517222
"2008-07-01",0.458067445315691
"2008-08-01",0.653441278584488
"2008-09-01",0.880958654670461
"2008-10-01",0.177481984887851
"2008-11-01",0.13170795363433
"2008-12-01",0.427399014842145
"2009-01-01",0.359788544875239
"2009-02-01",-0.0715276019446542
"2009-03-01",-0.489846967218543
"2009-04-01",-0.433611898179265
"2009-05-01",-0.18445294652949
"2009-06-01",0.197493122595782
"2009-07-01",-0.201381257438538
"2009-08-01",0.623994472882616
"2009-09-01",0.111431673686835
"2009-10-01",0.317830209186187
"2009-11-01",-0.193554613986202
"2009-12-01",0.233743942550335
"2010-01-01",0.170175877290668
"2010-02-01",0.166034357724087
"2010-03-01",-0.119702097400587
"2010-04-01",0.09056076846643
"2010-05-01",-0.0176601158005552
"2010-06-01",0.142102218474216
"2010-07-01",0.618344490712253
"2010-08-01",1.05669075483292
"2010-09-01",0.765785354988835
"2010-10-01",1.22399355369494
"2010-11-01",1.11441377948527
"2010-12-01",1.76478274657359
"2011-01-01",1.29263532376425
"2011-02-01",1.65995186547612
"2011-03-01",0.887813975667395
"2011-04-01",0.0219113575784746
"2011-05-01",0.199670363474636
"2011-06-01",0.143586860141198
"2011-07-01",0.531957377910142
"2011-08-01",0.379244386652
"2011-09-01",0.304368514900544
"2011-10-01",0.473172564266289
"2011-11-01",0.322855785757103
"2011-12-01",0.490062664476754
"2012-01-01",0.300728875887812
"2012-02-01",0.494605213683363
"2012-03-01",0.292783784511652
"2012-04-01",0.156038687989501
"2012-05-01",0.490517471172702
"2012-06-01",0.214142172124698
"2012-07-01",0.383158337431189
"2012-08-01",0.354071772583975
"2012-09-01",0.372604364892792
"2012-10-01",0.381703317339399
"2012-11-01",0.474611218395493
"2012-12-01",0.534069178329855
"2013-01-01",0.664796858153749
"2013-02-01",0.649162241902168
"2013-03-01",0.250848421790795
"2013-04-01",0.0702809586355269
"2013-05-01",0.272000605219458
"2013-06-01",0.305152138418308
"2013-07-01",0.611617218055249
"2013-08-01",1.33857481891471
"2013-09-01",1.35968877459107
"2013-10-01",0.733161267089932
"2013-11-01",-0.0307845193440182
"2013-12-01",0.0819895248410862
"2014-01-01",0.259617967732484
"2014-02-01",0.757283056647617
"2014-03-01",0.211993467044791
"2014-04-01",0.161033116848142
"2014-05-01",0.420005744249585
"2014-06-01",1.20815264369725
"2014-07-01",0.734590084414144
"2014-08-01",0.0639258292032485
"2014-09-01",-0.375590194892184
"2014-10-01",0.0970162702585764
"2014-11-01",0.709639667417394
"2014-12-01",0.837289867158186
"2015-01-01",0.967270936762232
"2015-02-01",0.335290068259408
"2015-03-01",-0.489567532913648
"2015-04-01",-0.425700683921182
"2015-05-01",0.365572014472004
"2015-06-01",0.342062088439432
"2015-07-01",0.606193584423798
"2015-08-01",0.200689452709168
"2015-09-01",0.469602837786565
"2015-10-01",0.332076457497488
"2015-11-01",0.0533082380092864
"2015-12-01",0.165985707990757
